id,tcg_id
925823,pl4-93
925686,pl4-67
925797,pl4-67
925623,pl4-4
925734,pl4-4
925640,pl4-21
925751,pl4-21
925707,pl4-88
925818,pl4-88
925662,pl4-43
925773,pl4-43
925624,pl4-5
925735,pl4-5
925687,pl4-68
925798,pl4-68
925641,pl4-22
925663,pl4-44
925752,pl4-22
925774,pl4-44
925625,pl4-6
925736,pl4-6
925688,pl4-69
925799,pl4-69
925708,pl4-89
925819,pl4-89
925689,pl4-70
925800,pl4-70
925642,pl4-23
925753,pl4-23
925643,pl4-24
925664,pl4-45
925754,pl4-24
925775,pl4-45
925644,pl4-25
925755,pl4-25
925690,pl4-71
925801,pl4-71
925665,pl4-46
925691,pl4-72
925729,pl4-SH11
925776,pl4-46
925802,pl4-72
925645,pl4-26
925756,pl4-26
925626,pl4-7
925737,pl4-7
925709,pl4-90
925820,pl4-90
925646,pl4-27
5529022,pl4-27
925757,pl4-27
7274807,pl4-27
925647,pl4-28
925666,pl4-47
925758,pl4-28
925777,pl4-47
925648,pl4-29
925759,pl4-29
925692,pl4-73
925803,pl4-73
925627,pl4-8
925717,pl4-98
925738,pl4-8
925649,pl4-30
925650,pl4-31
925760,pl4-30
925761,pl4-31
925667,pl4-48
925778,pl4-48
925693,pl4-74
925730,pl4-SH12
925804,pl4-74
925694,pl4-75
925805,pl4-75
925651,pl4-32
925762,pl4-32
925628,pl4-9
925739,pl4-9
925695,pl4-76
925696,pl4-77
925806,pl4-76
925807,pl4-77
925629,pl4-10
925718,pl4-99
925740,pl4-10
925630,pl4-11
925741,pl4-11
925697,pl4-78
925698,pl4-79
925808,pl4-78
925809,pl4-79
925710,pl4-91
925821,pl4-91
925699,pl4-80
925700,pl4-81
925810,pl4-80
925811,pl4-81
925668,pl4-49
925669,pl4-50
925670,pl4-51
925779,pl4-49
925780,pl4-50
925781,pl4-51
925631,pl4-12
925742,pl4-12
3508394,swsh10-TG01
4134552,swsh10-97
3489596,swsh10-97
3489797,swsh10-97
3489634,swsh10-135
3489680,swsh10-181
3489699,swsh10-199
3489828,swsh10-135
3508416,swsh10-TG24
3489565,swsh10-67
3489773,swsh10-67
3489533,swsh10-35
3489745,swsh10-35
3489609,swsh10-110
3489807,swsh10-110
3508417,swsh10-TG25
3489499,swsh10-1
3489659,swsh10-160
3489660,swsh10-161
3489545,swsh10-47
3489756,swsh10-47
3489615,swsh10-116
3489812,swsh10-116
3489611,swsh10-112
3508403,swsh10-TG11
3489809,swsh10-112
3489610,swsh10-111
3489808,swsh10-111
3489635,swsh10-136
3489829,swsh10-136
3489628,swsh10-129
3489824,swsh10-129
3489711,swsh10-211
3489636,swsh10-137
3489681,swsh10-182
3489700,swsh10-200
3489830,swsh10-137
3489509,swsh10-11
3489725,swsh10-11
3489574,swsh10-76
3489780,swsh10-76
3489637,swsh10-138
3489682,swsh10-183
3489701,swsh10-201
6658428,swsh10-138
3489831,swsh10-138
3489521,swsh10-23
3489736,swsh10-23
3489638,swsh10-139
3489832,swsh10-139
3489597,swsh10-98
3489598,swsh10-99
4313985,swsh10-99
3489518,swsh10-20
3489733,swsh10-20
3489540,swsh10-42
3489751,swsh10-42
3489566,swsh10-68
3489774,swsh10-68
3509152,swsh10-216
3489562,swsh10-64
3489770,swsh10-64
3489561,swsh10-63
3489769,swsh10-63
3489618,swsh10-119
3489814,swsh10-119
3489639,swsh10-140
3489833,swsh10-140
3508399,swsh10-TG07
3489640,swsh10-141
3489834,swsh10-141
3508395,swsh10-TG02
3508376,swsh10-TG04
3508408,swsh10-TG16
3508412,swsh10-TG20
3489547,swsh10-49
3508402,swsh10-TG10
3508411,swsh10-TG19
3489560,swsh10-62
3489768,swsh10-62
3489641,swsh10-142
3489835,swsh10-142
3489616,swsh10-117
3489677,swsh10-178
3508415,swsh10-TG23
3489642,swsh10-143
3489683,swsh10-184
3509635,swsh10-202
3489836,swsh10-143
3508397,swsh10-TG05
3489536,swsh10-38
3489748,swsh10-38
3489626,swsh10-127
3489822,swsh10-127
3489527,swsh10-29
3489740,swsh10-29
3489643,swsh10-144
3489684,swsh10-185
3489703,swsh10-203
3489837,swsh10-144
3489644,swsh10-145
3489838,swsh10-145
3489664,swsh10-165
3489523,swsh10-25
3489690,swsh10-191
3489524,swsh10-26
3489506,swsh10-8
3489722,swsh10-8
3489577,swsh10-79
3489782,swsh10-79
3489578,swsh10-80
3489783,swsh10-80
3489569,swsh10-71
3489777,swsh10-71
3489546,swsh10-48
3489757,swsh10-48
3489542,swsh10-44
3489753,swsh10-44
3489541,swsh10-43
6777265,swsh10-43
3489752,swsh10-43
3489631,swsh10-132
3489827,swsh10-132
3489580,swsh10-82
3489672,swsh10-173
3489581,swsh10-83
3489694,swsh10-195
3489582,swsh10-84
5610845,swsh10-82
3489785,swsh10-82
3489501,swsh10-3
3489717,swsh10-3
3489568,swsh10-70
5166868,swsh10-70
3489776,swsh10-70
3489645,swsh10-146
3489839,swsh10-146
3489514,swsh10-16
3489661,swsh10-162
3489662,swsh10-163
3489515,swsh10-17
3489516,swsh10-18
3489689,swsh10-190
3489730,swsh10-16
3489588,swsh10-90
3489589,swsh10-91
