PCID,TCGID,
925550,NA,
3374831,268446,
844847,129311,
5435559,NA,
2870993,246931,
6985249,127502,
844572,114006,
849312,90138,
886969,213119,
1656559,NA,
886898,213283,
886624,84401,
3398934,83820,
5672070,NA,
5639057,NA,
886988,213147,
958845,98058,
849354,86831,
925479,89551,
925517,83585,
844822,179034,
887017,213187,
925500,NA,
6331623,NA,
925504,NA,
845097,NA,
925405,86951,
762941,88243,
844974,153453,
958904,98117,
4933947,488078,
887035,213210,
849310,89153,
3684158,NA,
4360785,NA,
925491,NA,
958644,95909,
849366,89182,
844919,130684,
958849,98062,
958944,98047,
6021991,NA,
845084,84108,
5862196,NA,
3216294,NA,
844554,89729,
844990,152609,
5960323,NA,
844945,139100,
844719,100510,
6635131,NA,
845004,85928,
5862199,518872,
844905,198533,
844837,178794,
1656536,205465,
886822,213180,
886996,213162,
887000,213166,
1563455,90587,
849325,85394,
886646,89950,
886979,213135,
886935,213071,
925587,87728,
4373060,NA,
4247902,NA,
5013889,475430,
844903,197854,
849367,89262,
958913,98126,
925611,89809,
6142221,NA,
849374,84887,
886630,87154,
958886,98099,
958981,98087,
959004,98118,
887056,213243,
958909,98122,
4891570,478425,
6021830,NA,
887038,213219,
844687,96385,
1563452,85202,
886958,213104,
5167039,253421,
4196806,NA,
844817,172936,
6777383,NA,
844629,125160,
844555,90670,
4598007,477184,
1563472,NA,
5063338,NA,
844717,98733,
844798,166288,
886757,213099,
4636558,NA,
849348,85008,
849259,87876,
2728517,NA,
849358,87857,
887060,213247,
6658917,NA,
762947,87356,
763019,86919,
762937,86919,
844718,100509,
886597,84401,
886888,213267,
763004,87805,
849271,90451,
762990,86573,
849230,86785,
4934080,487898,
886830,213190,
887003,213169,
762939,88182,
1563434,86567,
6770014,NA,
4933905,487056,
6377530,NA,
925434,NA,
959002,98116,
5700102,NA,
4127317,NA,
6526459,NA,
1656562,NA,
4225289,NA,
6985248,127501,
6635132,NA,
4598014,260711,
4621209,127183,
925585,87640,
2720036,NA,
6916200,NA,
844870,189456,
844778,127512,
4707970,178793,
4175987,449513,
4933809,487872,
844557,90673,
4933977,490063,
844742,108606,
958896,98109,
886807,213164,
1656549,NA,
925588,87737,
3398928,87404,
958956,98059,
958979,98085,
5826824,NA,
925531,83771,
4462369,NA,
958963,98067,
845012,NA,
836280,213147,
925583,86497,
844824,211496,
762907,86459,
958830,98043,
958872,98085,
3621898,268709,
925552,NA,
4562625,NA,
958863,98076,
5810806,NA,
886817,213174,
925401,85526,
5862192,NA,
958483,95918,
958498,95938,
849320,83709,
4579856,NA,
844937,132241,
1563441,86562,
3367012,268707,
844876,189759,
5770138,NA,
6206667,NA,
4400360,NA,
886942,213078,
5672068,NA,
844618,121954,
3311041,260711,
925512,85576,
844861,183568,
886772,213118,
849281,87629,
925408,88834,
925403,86329,
849333,86814,
762917,84111,
886635,85129,
845043,90075,
925476,89145,
925551,90468,
958885,98098,
4934058,487866,
1563440,86592,
958854,98067,
4642243,453485,
958848,98061,
1656565,NA,
762964,83755,
845062,87057,
844630,126210,
886755,213095,
959003,98117,
849244,83631,
925407,88572,
5167564,NA,
844725,102802,
844858,129312,
886883,213260,
2674826,247295,
7417408,NA,
844801,166295,
844530,87795,
5426665,NA,
958975,98081,
5960646,NA,
844815,NA,
844730,102804,
6166490,NA,
4196410,NA,
5830300,NA,
4644175,475642,
1098357,NA,
958931,98144,
886909,213179,
886786,213136,
763035,85458,
4780172,NA,
2245028,NA,
762924,88293,
3398925,88096,
925465,87639,
4175989,NA,
887005,213171,
762994,89259,
4934187,488072,
4196343,449524,
763023,88243,
958983,98089,
849323,85110,
958637,95901,
925458,NA,
887019,213189,
886810,213167,
887046,213227,
886748,213085,
849265,89037,
958996,98107,
925608,88224,
845071,88750,
958626,95889,
6160301,NA,
4954135,489924,
844626,125564,
4305609,NA,
887076,213271,
958999,98110,
6775537,NA,
4205966,NA,
3168805,262566,
886814,213171,
6530689,NA,
844871,189021,
1656619,NA,
5013891,475432,
925592,89033,
958936,98039,
849280,88810,
6610754,NA,
844698,96396,
925573,84115,
886771,213117,
3363204,NA,
844993,155588,
4934003,490087,
4023498,NA,
845088,85630,
849206,85810,
763005,87996,
958962,98066,
4895432,NA,
886848,213215,
5830380,NA,
886981,213138,
849364,89036,
958994,98105,
3509153,273588,
886945,213081,
925594,89143,
849279,87667,
887018,213188,
886863,213232,
886992,213153,
762908,86573,
6682665,NA,
925463,86431,
4335521,240893,
6639773,NA,
1563483,91599,
887001,213167,
886983,213140,
6664345,NA,
5944594,NA,
844648,158183,
5371586,NA,
845065,85761,
7417411,NA,
844787,162604,
886862,213231,
844664,152950,
5156376,NA,
5013695,NA,
5923907,NA,
5550809,NA,
2720043,NA,
7047478,NA,
844677,127141,
4956295,475425,
958926,98139,
4135767,228597,
886613,88294,
2988068,NA,
844585,118862,
849363,88919,
5917674,NA,
849234,86815,
845086,87117,
762979,87797,
849220,83709,
925462,86414,
886808,213165,
958844,98057,
887033,213208,
886606,83629,
849258,87857,
887069,213260,
925615,87365,
763011,90032,
5324999,NA,
925586,87719,
6610738,NA,
4858994,NA,
886611,87127,
4933993,490077,
886937,213073,
845008,NA,
886776,213124,
6331620,NA,
5960522,NA,
1563477,NA,
844859,NA,
763018,86571,
1563460,86321,
925558,NA,
5962688,NA,
4642900,257710,
4196319,NA,
5704609,NA,
5963310,NA,
6266571,NA,
762943,85237,
4118182,97090,
5435156,NA,
6903550,NA,
844828,180528,
1563457,83855,
1656582,NA,
849193,85024,
849282,83473,
836234,213087,
958645,95918,
844644,123453,
844722,108594,
886605,87444,
958894,98107,
844693,96391,
887077,213272,
1656608,NA,
925572,83637,
886980,213137,
5401621,NA,
836353,213234,
849276,88589,
925598,89551,
887037,213214,
762904,84400,
958959,98063,
844823,179035,
958915,98128,
4768542,478423,
886628,86460,
844659,127136,
849245,84069,
886762,213106,
844599,NA,
836541,213284,
958947,98050,
3402797,276051,
5605275,NA,
7456536,NA,
1563487,85326,
6385905,NA,
844646,123438,
844803,127185,
844888,188321,
6610735,NA,
849378,84328,
925532,NA,
4933944,488075,
959015,98129,
886798,213153,
3398919,84256,
844617,NA,
762883,83903,
1656601,NA,
886754,213094,
844660,127137,
3398921,86051,
4125200,NA,
925540,86085,
886870,213244,
925485,83763,
887052,213237,
925539,NA,
844911,204985,
886933,213279,
886846,213213,
849329,86575,
886916,213265,
3216977,264285,
849316,83558,
958653,95927,
844813,172930,
762920,87125,
849371,90451,
886868,213242,
6985241,125568,
4442284,NA,
4863679,485845,
3233018,281960,
844690,211458,
2836919,253420,
959008,98122,
4998474,476452,
5490884,NA,
4602459,114015,
5975653,NA,
762927,89730,
1563403,89883,
6643063,NA,
958958,98061,
844563,147230,
4653875,NA,
3152087,253406,
1563432,87327,
1563471,85164,
958933,98146,
643529,86961,
762946,84683,
3951668,NA,
1563435,90741,
762925,88554,
3978640,NA,
5977615,NA,
3964423,158170,
887020,213190,
3233725,213241,
1563398,88705,
958984,98090,
844934,132239,
886749,213086,
5554466,NA,
958955,98058,
925449,90338,
958851,98064,
844773,126030,
958906,98119,
958458,95885,
4934067,487877,
849256,87214,
762916,90450,
